Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type,easting,northing,translation_easting,translation_northing,rotation_angle_degrees,transformed_easting,transformed_northing,error
1709121597.4733217,1225,1709121597,472619956,,2,0,63.23966613084865,9.5018699881,377.2472477162023,54.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0,224043.58364720555,7024127.720443122,0.010243678640108556,-0.1664395108819008,-1.2673257288042805e-07,224043.59918387872,7024127.71994756,0.01554457445560691
1709121597.567159,1226,1709121597,566068583,,2,0,63.23966509802252,9.501869721567378,377.2423822651756,53.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0,224043.56043066247,7024127.606828099,-0.023216543078888208,-0.11361502297222614,1.5965468946887995e-07,224043.5408579306,7024127.607452396,0.019582685709681743
1709121597.666871,1227,1709121597,666106599,,2,0,63.239667087823904,9.501870167673896,377.2444602285641,49.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0,224043.60178282263,7024127.826004393,0.04135216015856713,0.21917629428207874,-2.7999971052850015e-07,224043.63610915022,7024127.824909511,0.03434378448833609
1709121597.7731435,1228,1709121597,772479569,,2,0,63.23966771109462,9.501870557565397,377.23976595457935,51.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0,224043.6272682589,7024127.89358042,0.025485436257440597,0.06757602654397488,-1.9010937535313133e-07,224043.65057455763,7024127.8928370355,0.023318151328703133
1709121597.870485,1229,1709121597,869717539,,2,0,63.239666437116206,9.501869306842012,377.240976426028,48.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0,224043.55244170575,7024127.757407508,-0.07482655314379372,-0.1361729120835662,5.743463589169551e-07,224043.482030197,7024127.759653374,0.07044731704269319
1709121597.9699042,1230,1709121597,968054024,,2,0,63.23966720216882,9.501868555203002,377.2383613998819,50.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0,224043.52209159636,7024127.845652935,-0.03035010938765481,0.08824542723596096,2.702502683860075e-07,224043.4889604927,7024127.846709694,0.03314795271841192
1709121598.066523,1231,1709121598,64874963,,2,0,63.2396654919355,9.50187265277168,377.241585348465,55.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0,224043.7110430351,7024127.637976448,0.18895143872941844,-0.20767648704349995,-1.5936875286115537e-06,224043.90641981567,7024127.631744654,0.19547614086876205
1709121598.1675496,1232,1709121598,166998902,,2,0,63.23966307372187,9.501872900749955,377.2393334929507,55.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0,224043.70037251431,7024127.36820841,-0.010670520772691816,-0.2697680378332734,1.683454797785089e-08,224043.69830869714,7024127.368274238,0.0020648667276030284
1709121598.2841833,1233,1709121598,283518665,,2,0,63.2396623067512,9.501873596851844,377.24050143778766,55.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0,224043.72792196143,7024127.279988994,0.027549447113415226,-0.08821941632777452,-2.4742178084125044e-07,224043.75825442426,7024127.279021501,0.030347888637687587
1709121598.367798,1234,1709121598,367220602,,2,0,63.23966255998271,9.501874145554009,377.24887476479455,55.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0,224043.75782977676,7024127.305764228,0.02990781533299014,0.02577523421496153,-2.3701065288150858e-07,224043.78688589585,7024127.304837445,0.029070895823918818
1709121598.4690046,1235,1709121598,468173066,,2,0,63.23966312970204,9.501872793888923,377.2417372710975,57.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0,224043.69555349147,7024127.374888784,-0.06227628528722562,0.0691245561465621,5.254375423646707e-07,224043.63113792334,7024127.376943403,0.06444832717959159
1709121598.5630236,1236,1709121598,562185318,,2,0,63.23966414084992,9.501871893104056,377.2402477245437,57.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0,224043.66008152504,7024127.491121335,-0.03547196643194184,0.1162325507029891,3.192610336100188e-07,224043.62094199008,7024127.492369741,0.03915943966503607
1709121598.667414,1237,1709121598,666714033,,2,0,63.23966370787591,9.501871405453764,377.2442838185655,46.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0,224043.63151580503,7024127.4451111015,-0.02856572001473978,-0.04601023346185684,2.208149680882343e-07,224043.60444518132,7024127.445974554,0.02708439066984095
1709121598.770367,1238,1709121598,769507872,,2,0,63.23966293006213,9.501871470865565,377.24287489473767,47.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0,224043.6273647329,7024127.358402516,-0.004151072120293975,-0.08670858573168516,1.1289131407465902e-08,224043.6259807514,7024127.3584466595,0.0013846853230774345
1709121598.8746636,1239,1709121598,873483554,,2,0,63.23966122728736,9.50187239269086,377.2375520042645,43.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0,224043.65728575352,7024127.165229109,0.029921020613983274,-0.19317340664565563,-2.940259946626611e-07,224043.69333162025,7024127.164079379,0.03606419813053677
1709121598.9704344,1240,1709121598,969811589,,2,0,63.2396626991465,9.50187197108453,377.2429285787569,43.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0,224043.65021997067,7024127.330590407,-0.007065782847348601,0.1653612982481718,1.0055663324237685e-07,224043.6378923161,7024127.330983614,0.01233392389139552
1709121599.072789,1241,1709121599,71682436,,2,0,63.2396605757991,9.501874564358875,377.2431216356137,40.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0,224043.75986250665,7024127.0834879605,0.10964253597194329,-0.24710244685411453,-9.576700676916516e-07,224043.87726725359,7024127.079743183,0.11746445403132788
1709121599.168357,1242,1709121599,166867892,,2,0,63.23966024066544,9.501874010826878,377.2409640869185,44.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0,224043.72893055272,7024127.048632951,-0.030931953922845423,-0.03485500905662775,2.429960943572951e-07,224043.69914065438,7024127.04958314,0.02980504824868566
1709121599.2727222,1243,1709121599,272161324,,2,0,63.23966120035866,9.501876033246946,377.2425931278847,43.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0,224043.8394169412,7024127.146561189,0.11048638846841641,0.097928237169981,-8.748682205350633e-07,224043.94667066183,7024127.14314019,0.10730826538355147
1709121599.371689,1244,1709121599,370763317,,2,0,63.23966304573205,9.501876722106635,377.2429368851291,43.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0,224043.89155149183,7024127.34864408,0.052134550642222166,0.20208289101719856,-3.7230498151075153e-07,224043.93719390302,7024127.347188255,0.04566562301361348
1709121599.4725351,1245,1709121599,471759685,,2,0,63.23966361242933,9.501876481322276,377.2435853117156,42.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0,224043.88490039532,7024127.412649542,-0.006651096511632204,0.06400546245276928,7.083374953253951e-08,224043.87621659206,7024127.412926524,0.008688219494152317
1709121599.5695193,1246,1709121599,567580160,,2,0,63.23966399061129,9.501880950435828,377.2505076120725,43.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0,224044.1124103074,7024127.435427933,0.2275099120743107,0.022778390906751156,-1.8479909158486407e-06,224044.3389631836,7024127.428201724,0.226668091747736
